City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Airai,TL,-8.9266,125.4092,61.5,94,100,1.28,overcast clouds
80,Lavrentiya,RU,65.5833,-171.0,34.05,71,43,10.04,scattered clouds
81,Pacific Grove,US,36.6177,-121.9166,75.38,89,40,4.0,scattered clouds
82,Ballina,AU,-28.8667,153.5667,59.04,99,89,12.62,light rain
83,Vila Velha,BR,-20.3297,-40.2925,75.15,77,75,13.8,broken clouds
84,Oxford,GB,51.7522,-1.256,57.38,95,75,21.85,broken clouds
85,Oxapampa,PE,-10.5775,-75.4017,56.95,98,100,2.51,overcast clouds
86,Gravdal,NO,68.1214,13.5031,48.15,64,19,7.38,few clouds
87,Touros,BR,-5.1989,-35.4608,83.17,56,75,18.05,broken clouds
88,Pestravka,RU,52.405,49.9583,54.12,83,99,5.82,overcast clouds
89,Port Alfred,ZA,-33.5906,26.891,67.17,90,100,5.99,overcast clouds
90,Arawa,PG,-6.2132,155.5367,75.61,91,8,3.96,light rain
91,Sept-Iles,CA,50.2001,-66.3821,55.4,67,75,11.5,broken clouds
92,Labuhan,ID,-6.8844,112.2051,78.55,84,64,7.23,light rain
93,Pop,UZ,40.8736,71.1089,63.09,23,99,2.71,overcast clouds
94,Port Macquarie,AU,-31.4333,152.9167,57.88,85,99,16.02,light rain
95,Milazzo,IT,38.2212,15.2383,79.34,63,56,8.99,broken clouds
96,Kenai,US,60.5544,-151.2583,48.09,97,100,6.91,light rain
97,Kavieng,PG,-2.5744,150.7967,81.1,75,84,9.1,light rain
98,Manakara,MG,-22.1333,48.0167,66.15,80,0,6.8,clear sky
99,Fuerte Olimpo,PY,-21.0415,-57.8738,78.87,61,96,3.56,overcast clouds
100,Dabou,CI,5.3256,-4.3769,76.66,87,35,8.01,scattered clouds
101,Sinjar,IQ,36.3209,41.8754,85.68,16,0,7.65,clear sky
102,Yurginskoye,RU,56.8189,67.3921,24.55,86,31,3.15,scattered clouds
103,Takoradi,GH,4.8845,-1.7554,77.32,84,46,10.2,scattered clouds
104,Okha,RU,53.5739,142.9478,38.62,72,57,10.71,broken clouds
105,Thompson,CA,55.7435,-97.8558,41.16,56,75,8.05,broken clouds
